STATE,Year,Total murders,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.",Murder Rate (per 100k),Firearms Rate,Handgun Rate,Rifles Rate,Shotguns Rate,Firearms (type unknown) Rate,Knives or cutting instruments Rate,Other Weapons Rate,"Hands, fists, feet, Rate",HFR,HFR_se,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,AvgGunOwnershipEst,Population Estimate,Homicides per 100k Inhabitants,Est. Homicides,"Deaths, Excluding Firearms",Deaths,Population,"Crude Rate Per 100,000",FIREARM FATAILTIY RATE,FIREARM DEATHS,Guns Owners,Firearm Owners per 100k inhabitants,Homicides per Firearm Owner,Firearms per Homicide,Firearm Owners per Fatality,Firearm / Overall Deaths
Tennessee,2004,,,,,,,,,,,,,,,,,,,0.472,0.018,0.527272727,0.70015949,0.475589758,,0.454472109,0.450878619,0.4603134953,5918897,6.1,361.05,"55,829","55,829","5,910,809",944.5,,,2724548,46031,0.0001325183828,7546,,
Texas,2004,,,,,,,,,,,,,,,,,,,0.368,0.018,0.436619718,0.610648918,0.366212663,,0.361721947,0.385984854,0.371306488,22408514,6.1,1366.92,"152,870","152,870","22,394,023",682.6,,,8320427,37131,0.0001642847674,6087,,
Utah,2004,,,,,,,,,,,,,,,,,,,0.442,0.019,0.268656716,0.532258065,0.47113666,,,0.465440804,0.468288732,2438195,1.9,46.33,"13,331","13,331","2,401,580",555.1,,,1141779,46829,0.00004057325898,24647,,
Vermont,2004,,,,,,,,,,,,,,,,,,,0.442,0.019,0.1875,0.688311688,0.430912144,,,0.481905006,0.456408575,618120,2.6,16.07,"4,995","4,995","619,920",805.7,,,282115,45641,0.000056966502,17554,,
Virginia,2004,,,,,,,,,,,,,,,,,,,0.384,0.018,0.403508772,0.646879756,0.39042036,,0.35108031,0.368647187,0.3700492857,7453994,5.2,387.61,"56,550","56,550","7,475,575",756.5,,,2758345,37005,0.0001405218224,7116,,
Washington,2004,,,,,,,,,,,,,,,,,,,0.369,0.018,0.356020942,0.555555556,0.380927744,,0.307441289,0.379415059,0.3559280307,6181646,3.1,191.63,"44,770","44,770","6,178,645",724.6,,,2200221,35593,0.00008709625916,11482,,
West Virginia,2004,,,,,,,,,,,,,,,,,,,0.556,0.018,0.387755102,0.733050847,0.56646697,,0.468230702,0.531669669,0.522122447,1803462,3.8,68.53,"20,793","20,793","1,816,438","1,144.70",,,941628,52212,0.00007277986269,13740,,
Wisconsin,2004,,,,,,,,,,,,,,,,,,,0.416,0.018,0.238709677,0.534516765,0.402902613,,0.425031467,0.457807823,0.4285806343,5512205,2.8,154.34,"45,600","45,600","5,514,026",827,,,2362424,42858,0.00006533193,15306,,
Wyoming,2004,,,,,,,,,,,,,,,,,,,0.607,0.018,0.333333333,0.611940299,0.631548212,,0.53086295,0.599980494,0.5874638853,502742,2.2,11.06,"3,955","3,955","509,106",776.9,,,295343,58746,0.00003744911057,26703,,
Alabama,2005,,,,,,,,,,,,,,,,,,,0.485,0.044,0.645833333,0.699316629,,,,,,4542912,8.2,372.52,"46,354","47,090","4,569,805","1,030.50",16.00,736.00,0,0,0.00003744911057,26703,,1.56%
Alaska,2005,,,,,,,,,,,,,,,,,,,0.609,0.044,0.555555556,0.692307692,,,,,,667114,4.8,32.02,"3,052","3,168","666,946",475,17.5,116,0,0,0.00003744911057,26703,,3.66%
Arizona,2005,,,,,,,,,,,,,,,,,,,0.373,0.044,0.315,0.605369128,,,,,,5973970,7.5,448.05,"44,893","45,827","5,839,077",784.8,16.1,934,0,0,0.00003744911057,26703,,2.04%
Arkansas,2005,,,,,,,,,,,,,,,,,,,0.499,0.044,0.581395349,0.675159236,,,,,,2776257,6.8,188.79,"27,616","28,055","2,781,097","1,008.80",15.7,439,0,0,0.00003744911057,26703,,1.56%
California,2005,,,,,,,,,,,,,,,,,,,0.209,0.044,0.212737127,0.474878444,,,,,,35770688,6.9,2468.18,"233,584","237,037","35,827,943",661.6,9.5,3453,0,0,0.00003744911057,26703,,1.46%
Colorado,2005,,,,,,,,,,,,,,,,,,,0.378,0.044,0.28313253,0.550473186,,,,,,4655731,3.7,172.26,"29,092","29,627","4,631,888",639.6,11.6,535,0,0,0.00003744911057,26703,,1.81%
Connecticut,2005,,,,,,,,,,,,,,,,,,,0.202,0.044,0.140625,0.445887446,,,,,,3477185,3,104.32,"29,280","29,467","3,506,956",840.2,5.3,187,0,0,0.00003744911057,26703,,0.63%
Delaware,2005,,,,,,,,,,,,,,,,,,,0.3,0.044,0.214285714,0.565217391,,,,,,840296,4.4,36.97,"7,397","7,472","845,150",884.1,8.8,75,0,0,0.00003744911057,26703,,1.00%
Florida,2005,,,,,,,,,,,,,,,,,,,0.295,0.044,0.314878893,0.554550594,,,,,,17773291,5,888.66,"168,953","170,791","17,842,038",957.2,10,1838,0,0,0.00003744911057,26703,,1.08%
Georgia,2005,,,,,,,,,,,,,,,,,,,0.416,0.044,0.497206704,0.672483221,,,,,,9090479,6.2,563.61,"65,672","66,736","8,925,922",747.7,12.1,1064,0,0,0.00003744911057,26703,,1.59%
Hawaii,2005,,,,,,,,,,,,,,,,,,,0.072,0.044,0.151515152,0.22972973,,,,,,1259147,1.9,23.92,"9,108","9,136","1,292,729",706.7,2.1,28,0,0,0.00003744911057,26703,,0.31%
Idaho,2005,,,,,,,,,,,,,,,,,,,0.589,0.044,0.428571429,0.751295337,,,,,,1425226,2.4,34.21,"10,361","10,556","1,428,241",739.1,14.1,195,0,0,0.00003744911057,26703,,1.85%
Illinois,2005,,,,,,,,,,,,,,,,,,,0.23,0.044,0.220720721,0.434027778,,,,,,12672835,6,760.37,"102,955","103,974","12,609,903",824.5,8,1019,0,0,0.00003744911057,26703,,0.98%
Indiana,2005,,,,,,,,,,,,,,,,,,,0.37,0.044,0.286885246,0.611556982,,,,,,6253142,5.7,356.43,"54,970","55,675","6,278,616",886.7,11.2,705,0,0,0.00003744911057,26703,,1.27%
Iowa,2005,,,,,,,,,,,,,,,,,,,0.359,0.044,0.230769231,0.596078431,,,,,,2950517,1.3,38.36,"27,610","27,811","2,964,454",938.1,6.7,201,0,0,0.00003744911057,26703,,0.72%
Kansas,2005,,,,,,,,,,,,,,,,,,,0.392,0.044,0.225806452,0.58,,,,,,2739997,3.7,101.38,"24,425","24,682","2,745,299",899.1,9.3,257,0,0,0.00003744911057,26703,,1.04%
Kentucky,2005,,,,,,,,,,,,,,,,,,,0.502,0.044,0.526785714,0.691629956,,,,,,4179655,4.6,192.26,"39,675","40,223","4,182,742",961.6,13,548,0,0,0.00003744911057,26703,,1.36%
Louisiana,2005,,,,,,,,,,,,,,,,,,,0.486,0.044,0.566037736,0.721804511,,,,,,4495113,10,449.51,"43,497","44,355","4,576,628",969.2,18.50,858.00,0,0,0.00003744911057,26703,,1.93%
Maine,2005,,,,,,,,,,,,,,,,,,,0.425,0.044,0.2,0.648275862,,,,,,1310424,1.4,18.35,"12,759","12,868","1,318,787",975.7,7.8,109,0,0,0.00003744911057,26703,,0.85%
Maryland,2005,,,,,,,,,,,,,,,,,,,0.266,0.044,0.163043478,0.539473684,,,,,,5576889,9.9,552.11,"43,235","43,892","5,592,379",784.9,11.9,657,0,0,0.00003744911057,26703,,1.50%
Massachusetts,2005,,,,,,,,,,,,,,,,,,,0.103,0.044,0.1,0.275,,,,,,6453694,2.8,180.70,"53,650","53,874","6,403,290",841.3,3.4,224,0,0,0.00003744911057,26703,,0.42%
Michigan,2005,,,,,,,,,,,,,,,,,,,0.346,0.044,0.274678112,0.56,,,,,,10092426,6.2,625.73,"85,793","86,867","10,051,137",864.3,10.8,1074,0,0,0.00003744911057,26703,,1.24%
Minnesota,2005,,,,,,,,,,,,,,,,,,,0.387,0.044,0.25,0.516930023,,,,,,5106992,2.2,112.35,"37,174","37,535","5,119,598",733.2,7,361,0,0,0.00003744911057,26703,,0.96%
Mississippi,2005,,,,,,,,,,,,,,,,,,,0.5,0.044,0.575757576,0.717171717,,,,,,2899300,7.4,214.55,"28,741","29,196","2,905,943","1,004.70",16,455,0,0,0.00003744911057,26703,,1.56%
Missouri,2005,,,,,,,,,,,,,,,,,,,0.417,0.044,0.347826087,0.643463497,,,,,,5803587,6.9,400.45,"53,904","54,656","5,790,300",943.9,12.9,752,0,0,0.00003744911057,26703,,1.38%
Montana,2005,,,,,,,,,,,,,,,,,,,0.694,0.044,0.405405405,0.710059172,,,,,,934656,1.9,17.76,"8,367","8,528","940,102",907.1,16.90,161.00,0,0,0.00003744911057,26703,,1.89%
Nebraska,2005,,,,,,,,,,,,,,,,,,,0.371,0.044,0.268292683,0.609589041,,,,,,1750772,2.5,43.77,"14,828","14,963","1,761,497",849.4,7.7,135,0,0,0.00003744911057,26703,,0.90%
Nevada,2005,,,,,,,,,,,,,,,,,,,0.36,0.044,0.297029703,0.612137203,,,,,,2407073,8.5,204.60,"18,639","19,029","2,432,143",782.4,16.1,390,0,0,0.00003744911057,26703,,2.05%
New Hampshire,2005,,,,,,,,,,,,,,,,,,,0.364,0.044,0.24137931,0.541353383,,,,,,1301050,1.5,19.52,"10,106","10,194","1,298,492",785.1,6.6,88,0,0,0.00003744911057,26703,,0.86%
New Jersey,2005,,,,,,,,,,,,,,,,,,,0.106,0.044,0.078947368,0.300947867,,,,,,8619564,4.8,413.74,"71,529","71,963","8,651,974",831.8,5.20,434.00,0,0,0.00003744911057,26703,,0.60%
New Mexico,2005,,,,,,,,,,,,,,,,,,,0.406,0.044,0.28358209,0.578181818,,,,,,1914699,7.5,143.60,"14,716","14,983","1,932,274",775.4,13.9,267,0,0,0.00003744911057,26703,,1.78%
New York,2005,,,,,,,,,,,,,,,,,,,0.192,0.044,0.141552511,0.43814433,,,,,,19329398,4.5,869.82,"151,408","152,427","19,132,610",796.7,5.3,1019,0,0,0.00003744911057,26703,,0.67%
North Carolina,2005,,,,,,,,,,,,,,,,,,,0.375,0.044,0.347107438,0.714471969,,,,,,8655414,6.7,579.91,"73,519","74,638","8,705,407",857.4,12.8,1119,0,0,0.00003744911057,26703,,1.50%
North Dakota,2005,,,,,,,,,,,,,,,,,,,0.546,0.044,0.333333333,0.627906977,,,,,,634528,1.9,12.06,"5,683","5,744","646,089",889,8.8,61,0,0,0.00003744911057,26703,,1.06%
Ohio,2005,,,,,,,,,,,,,,,,,,,0.348,0.044,0.275,0.546775658,,,,,,11475559,5.1,585.25,"107,915","109,031","11,463,320",951.1,9.6,1116,0,0,0.00003744911057,26703,,1.02%
Oklahoma,2005,,,,,,,,,,,,,,,,,,,0.441,0.044,0.372881356,0.638613861,,,,,,3530037,5.3,187.09,"35,712","36,180","3,548,597","1,019.60",13.2,468,0,0,0.00003744911057,26703,,1.29%
Oregon,2005,,,,,,,,,,,,,,,,,,,0.484,0.044,0.273504274,0.64785553,,,,,,3617086,2.2,79.58,"30,689","31,091","3,613,202",860.5,10.7,402,0,0,0.00003744911057,26703,,1.29%
Pennsylvania,2005,,,,,,,,,,,,,,,,,,,0.414,0.044,0.257352941,0.602763385,,,,,,12415908,6.1,757.37,"128,180","129,532","12,449,990","1,040.40",10.8,1352,0,0,0.00003744911057,26703,,1.04%
Rhode Island,2005,,,,,,,,,,,,,,,,,,,0.124,0.044,0.095238095,0.34,,,,,,1069226,3.2,34.22,"9,968","10,007","1,067,916",937.1,3.6,39,0,0,0.00003744911057,26703,,0.39%
South Carolina,2005,,,,,,,,,,,,,,,,,,,0.394,0.044,0.448598131,0.660049628,,,,,,4250989,7.4,314.57,"38,118","38,707","4,270,150",906.5,13.8,589,0,0,0.00003744911057,26703,,1.52%
South Dakota,2005,,,,,,,,,,,,,,,,,,,0.504,0.044,0.117647059,0.663461538,,,,,,778775,2.3,17.91,"7,004","7,086","775,493",913.7,10.2,82,0,0,0.00003744911057,26703,,1.16%
Tennessee,2005,,,,,,,,,,,,,,,,,,,0.467,0.044,0.522012579,0.672883788,,,,,,5997481,7.2,431.82,"56,284","57,260","5,991,057",955.8,16,976,0,0,0.00003744911057,26703,,1.70%
Texas,2005,,,,,,,,,,,,,,,,,,,0.376,0.044,0.412955466,0.611746362,,,,,,22790696,6.1,1390.23,"153,967","156,457","22,778,123",686.9,11.10,"2,490.00",0,0,0.00003744911057,26703,,1.59%
Utah,2005,,,,,,,,,,,,,,,,,,,0.377,0.044,0.241935484,0.611888112,,,,,,2498863,2.2,54.97,"13,205","13,432","2,457,719",546.5,10.1,227,0,0,0.00003744911057,26703,,1.69%
Vermont,2005,,,,,,,,,,,,,,,,,,,0.403,0.044,0.277777778,0.516666667,,,,,,618797,1.3,8.04,"5,022","5,066","621,215",815.5,6.8,44,0,0,0.00003744911057,26703,,0.87%
Virginia,2005,,,,,,,,,,,,,,,,,,,0.408,0.044,0.356756757,0.653450808,,,,,,7547753,6.1,460.41,"56,967","57,855","7,577,105",763.6,11.5,888,0,0,0.00003744911057,26703,,1.53%
Washington,2005,,,,,,,,,,,,,,,,,,,0.364,0.044,0.222891566,0.550304878,,,,,,6258988,3.3,206.55,"45,636","46,203","6,257,305",738.4,8.80,567.00,0,0,0.00003744911057,26703,,1.23%
West Virginia,2005,,,,,,,,,,,,,,,,,,,0.631,0.044,0.590909091,0.767772512,,,,,,1804128,4.5,81.19,"20,519","20,780","1,820,492","1,141.40",13.8,261,0,0,0.00003744911057,26703,,1.26%
Wisconsin,2005,,,,,,,,,,,,,,,,,,,0.41,0.044,0.190082645,0.534482759,,,,,,5542096,3.7,205.06,"46,235","46,709","5,546,166",842.2,8.5,474,0,0,0.00003744911057,26703,,1.01%
Wyoming,2005,,,,,,,,,,,,,,,,,,,0.592,0.044,0.608695652,0.626865672,,,,,,506002,2.8,14.17,"4,028","4,099","514,157",797.2,13.4,71,0,0,0.00003744911057,26703,,1.73%
Alabama,2006,,,,,,,,,,,,,,,,,,,0.468,0.035,0.572916667,0.712809917,,,0.418361625,,0.418361625,4594911,8.3,381.38,"46,977","46,977","4,628,981","1,014.80",,,1922334,41836,0.0001983929573,5041,,
Alaska,2006,,,,,,,,,,,,,,,,,,,0.551,0.044,0.322580645,0.663461538,,,,,,675322,5.4,36.47,"3,354","3,354","675,302",496.7,,,0,0,0.0001983929573,5041,,
Arizona,2006,,,,,,,,,,,,,,,,,,,0.385,0.035,0.403755869,0.622715405,,,0.350953786,,0.350953786,6190987,8.6,532.42,"46,365","46,365","6,029,141",769,,,2172750,35095,0.0002450465088,4081,,
Arkansas,2006,,,,,,,,,,,,,,,,,,,0.481,0.035,0.365079365,0.715654952,,,0.442402983,,0.442402983,2814910,7.3,205.49,"27,901","27,901","2,821,761",988.8,,,1245325,44240,0.000165007929,6060,,
California,2006,,,,,,,,,,,,,,,,,,,0.202,0.035,0.194444444,0.454615981,,,0.217267702,,0.217267702,35947461,6.8,2444.43,"237,126","237,126","36,021,202",658.3,,,7810222,21727,0.0003129779501,3195,,
Colorado,2006,,,,,,,,,,,,,,,,,,,0.399,0.035,0.352601156,0.556552962,,,0.385089371,,0.385089371,4747872,3.6,170.92,"29,521","29,521","4,720,423",625.4,,,1828355,38509,0.00009348479265,10697,,
Connecticut,2006,,,,,,,,,,,,,,,,,,,0.174,0.035,0.066666667,0.323275862,,,0.232954086,,0.232954086,3484531,3.9,135.90,"29,260","29,260","3,517,460",831.9,,,811736,23295,0.0001674149643,5973,,
Delaware,2006,,,,,,,,,,,,,,,,,,,0.303,0.035,0.411764706,0.472972973,,,0.320806879,,0.320806879,853301,4.9,41.81,"7,204","7,204","859,268",838.4,,,273745,32081,0.0001527398669,6547,,
Florida,2006,,,,,,,,,,,,,,,,,,,0.282,0.035,0.322638146,0.556679085,,,0.25108638,,0.25108638,18076361,6.2,1120.73,"170,066","170,066","18,166,990",936.1,,,4538728,25109,0.0002469269739,4050,,
Georgia,2006,,,,,,,,,,,,,,,,,,,0.395,0.035,0.538860104,0.679452055,,,0.319583782,,0.319583782,9323575,6.5,606.03,"67,808","67,808","9,155,813",740.6,,,2979663,31958,0.000203389545,4917,,
Hawaii,2006,,,,,,,,,,,,,,,,,,,0.116,0.035,0.09375,0.204545455,,,0.228327894,,0.228327894,1269228,1.6,20.31,"9,432","9,432","1,309,731",720.1,,,289800,22833,0.00007007466201,14270,,
Idaho,2006,,,,,,,,,,,,,,,,,,,0.554,0.035,0.372093023,0.720670391,,,0.483833471,,0.483833471,1463631,2.4,35.13,"10,613","10,613","1,468,669",722.6,,,708154,48383,0.00004960384396,20160,,
Illinois,2006,,,,,,,,,,,,,,,,,,,0.245,0.035,0.195,0.411111111,,,0.276631978,,0.276631978,12714588,6.1,775.59,"102,171","102,171","12,643,955",808.1,,,3517262,27663,0.0002205095754,4535,,
Indiana,2006,,,,,,,,,,,,,,,,,,,0.386,0.035,0.326666667,0.583086053,,,0.389799658,,0.389799658,6300341,5.7,359.12,"55,622","55,622","6,332,669",878.3,,,2455871,38980,0.0001462289636,6839,,
Iowa,2006,,,,,,,,,,,,,,,,,,,0.375,0.035,0.225806452,0.496323529,,,0.428866099,,0.428866099,2965203,1.8,53.37,"27,362","27,362","2,982,644",917.4,,,1271675,42887,0.00004197114214,23826,,
Kansas,2006,,,,,,,,,,,,,,,,,,,0.426,0.035,0.314285714,0.611650485,,,0.407495362,,0.407495362,2754018,4.5,123.93,"24,553","24,553","2,762,931",888.7,,,1122250,40750,0.0001104307047,9055,,
Kentucky,2006,,,,,,,,,,,,,,,,,,,0.476,0.035,0.420560748,0.65631068,,,0.428726132,,0.428726132,4216783,4.1,172.89,"40,102","40,102","4,219,239",950.5,,,1807845,42873,0.00009563214588,10457,,
Louisiana,2006,,,,,,,,,,,,,,,,,,,0.483,0.035,0.57,0.698979592,,,0.443907064,,0.443907064,4237693,12.9,546.66,"40,045","40,045","4,302,665",930.7,,,1881142,44391,0.0002906013679,3441,,
Maine,2006,,,,,,,,,,,,,,,,,,,0.431,0.035,0.28125,0.619047619,,,0.407338981,,0.407338981,1313479,1.7,22.33,"12,294","12,294","1,323,619",928.8,,,535031,40734,0.00004173428224,23961,,
Maryland,2006,,,,,,,,,,,,,,,,,,,0.237,0.035,0.216494845,0.545226131,,,0.202264797,,0.202264797,5605552,9.7,543.74,"43,582","43,582","5,627,367",774.5,,,1133806,20226,0.0004795693637,2085,,
Massachusetts,2006,,,,,,,,,,,,,,,,,,,0.116,0.035,0.100775194,0.274143302,,,0.154226901,,0.154226901,6466069,2.9,187.52,"53,450","53,450","6,410,084",833.8,,,997242,15423,0.0001880346412,5318,,
Michigan,2006,,,,,,,,,,,,,,,,,,,0.372,0.035,0.258373206,0.584946237,,,0.381263173,,0.381263173,10082414,7.1,715.85,"86,042","86,042","10,036,081",857.3,,,3844053,38126,0.0001862230738,5370,,
Minnesota,2006,,,,,,,,,,,,,,,,,,,0.373,0.035,0.172727273,0.504504505,,,0.355991656,,0.355991656,5147857,2.4,123.55,"37,028","37,028","5,163,555",717.1,,,1832594,35599,0.00006741731048,14833,,
Mississippi,2006,,,,,,,,,,,,,,,,,,,0.49,0.044,0.5,0.723320158,,,,,,2896691,7.9,228.84,"28,564","28,564","2,904,978",983.3,,,0,0,0.00006741731048,14833,,
Missouri,2006,,,,,,,,,,,,,,,,,,,0.445,0.035,0.319526627,0.619047619,,,0.449809748,,0.449809748,5857974,6.3,369.05,"54,681","54,681","5,842,704",935.9,,,2634974,44981,0.0001400592145,7140,,
Montana,2006,,,,,,,,,,,,,,,,,,,0.614,0.044,0.2,0.591463415,,,,,,946059,3.5,33.11,"8,472","8,472","952,692",889.3,,,0,0,0.0001400592145,7140,,
Nebraska,2006,,,,,,,,,,,,,,,,,,,0.351,0.044,0.272727273,0.568047337,,,,,,1759327,2.9,51.02,"14,899","14,899","1,772,693",840.5,,,0,0,0.0001400592145,7140,,
Nevada,2006,,,,,,,,,,,,,,,,,,,0.351,0.044,0.305555556,0.587301587,,,,,,2491122,9.1,226.69,"18,872","18,872","2,522,658",748.1,,,0,0,0.0001400592145,7140,,
New Hampshire,2006,,,,,,,,,,,,,,,,,,,0.364,0.044,0.15,0.567567568,,,,,,1311184,1,13.11,"10,060","10,060","1,308,389",768.9,,,0,0,0.0001400592145,7140,,
New Jersey,2006,,,,,,,,,,,,,,,,,,,0.118,0.035,0.069565217,0.35106383,,,0.128606252,,0.128606252,8619354,4.9,422.35,"70,356","70,356","8,661,679",812.3,,,1108503,12861,0.0003810079155,2625,,
New Mexico,2006,,,,,,,,,,,,,,,,,,,0.392,0.035,0.28358209,0.610526316,,,0.329796571,,0.329796571,1940631,6.9,133.90,"15,296","15,296","1,962,137",779.6,,,640013,32980,0.000209219883,4780,,
New York,2006,,,,,,,,,,,,,,,,,,,0.164,0.035,0.110671937,0.357875116,,,0.191096881,,0.191096881,19353588,4.8,928.97,"148,806","148,806","19,104,631",778.9,,,3698410,19110,0.0002511814936,3981,,
North Carolina,2006,,,,,,,,,,,,,,,,,,,0.351,0.035,0.404761905,0.653395785,,,0.326695124,,0.326695124,8853849,6.1,540.08,"74,716","74,716","8,917,270",837.9,,,2892509,32670,0.000186718428,5356,,
North Dakota,2006,,,,,,,,,,,,,,,,,,,0.484,0.044,0.235294118,0.506849315,,,,,,636019,2.2,13.99,"5,868","5,868","649,422",903.6,,,0,0,0.000186718428,5356,,
Ohio,2006,,,,,,,,,,,,,,,,,,,0.353,0.035,0.274647887,0.526416907,,,0.353388301,,0.353388301,11490596,4.9,563.04,"106,825","106,825","11,481,213",930.4,,,4060642,35339,0.0001386576745,7212,,
Oklahoma,2006,,,,,,,,,,,,,,,,,,,0.468,0.035,0.387387387,0.636150235,,,0.469117674,,0.469117674,3571612,5.9,210.73,"35,427","35,427","3,594,090",985.7,,,1675506,46912,0.0001257680179,7951,,
Oregon,2006,,,,,,,,,,,,,,,,,,,0.451,0.035,0.284671533,0.606334842,,,0.401124999,,0.401124999,3675743,2.4,88.22,"31,380","31,380","3,670,883",854.8,,,1474432,40112,0.00005983172343,16714,,
Pennsylvania,2006,,,,,,,,,,,,,,,,,,,0.382,0.035,0.283950617,0.576756288,,,0.325146509,,0.325146509,12466485,6,747.99,"125,539","125,539","12,510,809","1,003.40",,,4053434,32515,0.0001845321981,5419,,
Rhode Island,2006,,,,,,,,,,,,,,,,,,,0.129,0.044,0.2,0.32,,,,,,1064193,2.5,26.60,"9,690","9,690","1,063,096",911.5,,,0,0,0.0001845321981,5419,,
South Carolina,2006,,,,,,,,,,,,,,,,,,,0.403,0.035,0.453781513,0.644444444,,,0.378914279,,0.378914279,4334146,8.4,364.07,"38,761","38,761","4,357,847",889.5,,,1642270,37891,0.0002216860241,4511,,
South Dakota,2006,,,,,,,,,,,,,,,,,,,0.514,0.044,0.380952381,0.605769231,,,,,,786973,3.8,29.90,"7,084","7,084","783,033",904.7,,,0,0,0.0002216860241,4511,,
Tennessee,2006,,,,,,,,,,,,,,,,,,,0.447,0.035,0.476923077,0.701030928,,,0.367372833,,0.367372833,6090290,6.9,420.23,"56,838","56,838","6,088,766",933.5,,,2237407,36737,0.0001878200939,5324,,
Texas,2006,,,,,,,,,,,,,,,,,,,0.363,0.035,0.426,0.594477531,,,0.338125441,,0.338125441,23356591,5.9,1378.04,"157,150","157,150","23,359,580",672.7,,,7897458,33813,0.0001744914545,5731,,
Utah,2006,,,,,,,,,,,,,,,,,,,0.378,0.044,0.317073171,0.582142857,,,,,,2582234,2,51.64,"13,764","13,764","2,525,507",545,,,0,0,0.0001744914545,5731,,
Vermont,2006,,,,,,,,,,,,,,,,,,,0.441,0.044,0.15,0.655737705,,,,,,619916,2.2,13.64,"5,048","5,048","622,892",810.4,,,0,0,0.0001744914545,5731,,
Virginia,2006,,,,,,,,,,,,,,,,,,,0.373,0.035,0.388349515,0.625373134,,,0.312568991,,0.312568991,7633859,5.3,404.59,"57,690","57,690","7,673,725",751.8,,,2386108,31257,0.0001695625655,5898,,
Washington,2006,,,,,,,,,,,,,,,,,,,0.359,0.035,0.214689266,0.568037975,,,0.326206174,,0.326206174,6371097,3.1,197.50,"46,120","46,120","6,370,753",723.9,,,2078291,32621,0.00009503192297,10523,,
West Virginia,2006,,,,,,,,,,,,,,,,,,,0.56,0.035,0.481481481,0.711627907,,,0.46881851,,0.46881851,1808136,4.4,79.56,"20,672","20,672","1,827,912","1,130.90",,,847688,46882,0.00009385294962,10655,,
Wisconsin,2006,,,,,,,,,,,,,,,,,,,0.425,0.035,0.180555556,0.519011407,,,0.419087566,,0.419087566,5571510,3,167.15,"46,153","46,153","5,577,655",827.5,,,2334951,41909,0.00007158408513,13970,,
Wyoming,2006,,,,,,,,,,,,,,,,,,,0.583,0.035,0.304347826,0.698924731,,,0.516375507,,0.516375507,512664,2.5,12.82,"4,311","4,311","522,667",824.8,,,264727,51638,0.00004841437996,20655,,
Alabama,2007,,,,,,,,,,,,,,,,,,,0.481,0.032,0.56557377,0.695744681,,,,0.517508866,0.517508866,4634063,8.9,412.43,"46,696","46,696","4,672,840",999.3,,,2398169,51751,0.0001719777299,5815,,
Alaska,2007,,,,,,,,,,,,,,,,,,,0.577,0.044,0.346153846,0.691056911,,,,,,679893,6.3,42.83,"3,463","3,463","680,300",509,,,0,0,0.0001719777299,5815,,
Arizona,2007,,,,,,,,,,,,,,,,,,,0.38,0.032,0.275229358,0.616541353,,,,0.423533008,0.423533008,6360238,8.6,546.98,"45,554","45,554","6,167,681",738.6,,,2693771,42353,0.0002030538314,4925,,
Arkansas,2007,,,,,,,,,,,,,,,,,,,0.507,0.032,0.475,0.639751553,,,,0.575744984,0.575744984,2841595,7,198.91,"28,191","28,191","2,848,650",989.6,,,1636034,57574,0.0001215816063,8225,,
California,2007,,,,,,,,,,,,,,,,,,,0.185,0.032,0.198317308,0.453790614,,,,0.21619451,0.21619451,36185908,6.2,2243.53,"233,720","233,720","36,250,311",644.7,,,7823195,21619,0.0002867787901,3487,,
Colorado,2007,,,,,,,,,,,,,,,,,,,0.404,0.032,0.223463687,0.563291139,,,,0.462814318,0.462814318,4837229,3.2,154.79,"29,993","29,993","4,803,868",624.4,,,2238739,46281,0.0000691421997,14463,,
Connecticut,2007,,,,,,,,,,,,,,,,,,,0.116,0.032,0.086206897,0.342723005,,,,0.134191039,0.134191039,3488084,3.2,111.62,"28,651","28,651","3,527,270",812.3,,,468070,13419,0.0002384659977,4193,,
Delaware,2007,,,,,,,,,,,,,,,,,,,0.262,0.032,0.375,0.521126761,,,,0.270566356,0.270566356,865314,4.5,38.94,"7,327","7,327","871,749",840.5,,,234125,27057,0.000166317796,6013,,
Florida,2007,,,,,,,,,,,,,,,,,,,0.261,0.032,0.315699659,0.549225387,,,,0.265577078,0.265577078,18262096,6.6,1205.30,"168,096","168,096","18,367,842",915.2,,,4849994,26558,0.0002485154235,4024,,
Georgia,2007,,,,,,,,,,,,,,,,,,,0.388,0.032,0.469387755,0.685393258,,,,0.392026984,0.392026984,9526642,7.5,714.50,"68,331","68,331","9,349,988",730.8,,,3734701,39203,0.0001913133612,5227,,
Hawaii,2007,,,,,,,,,,,,,,,,,,,0.064,0.044,0.09375,0.237623762,,,,,,1269796,1.9,24.13,"9,495","9,495","1,315,675",721.7,,,0,0,0.0001913133612,5227,,
Idaho,2007,,,,,,,,,,,,,,,,,,,0.561,0.032,0.323529412,0.71957672,,,,0.575518186,0.575518186,1498390,3.3,49.45,"10,822","10,822","1,505,105",719,,,862351,57552,0.00005733963027,17440,,
Illinois,2007,,,,,,,,,,,,,,,,,,,0.225,0.032,0.177777778,0.433748584,,,,0.267188941,0.267188941,12775864,5.9,753.78,"100,503","100,503","12,695,866",791.6,,,3413570,26719,0.0002208175225,4529,,
