STATE,Year,Total murders,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.",Murder Rate (per 100k),Firearms Rate,Handgun Rate,Rifles Rate,Shotguns Rate,Firearms (type unknown) Rate,Knives or cutting instruments Rate,Other Weapons Rate,"Hands, fists, feet, Rate",HFR,HFR_se,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,AvgGunOwnershipEst,Population Estimate,Homicides per 100k Inhabitants,Est. Homicides,"Deaths, Excluding Firearms",Deaths,Population,"Crude Rate Per 100,000",FIREARM FATAILTIY RATE,FIREARM DEATHS,Guns Owners,Firearm Owners per 100k inhabitants,Homicides per Firearm Owner,Firearms per Homicide,Firearm Owners per Fatality,Firearm / Overall Deaths
Mississippi,2000,,,,,,,,,,,,,,,,,,,0.536,0.026,0.490566038,0.804979253,,0.583212181,0.422217236,0.583974915,0.529801444,2848433,9,256.36,"28,654","28,654","2,844,658","1,007.30",,,1509104,52980,0.0001698749617,5887,,
Missouri,2000,,,,,,,,,,,,,,,,,,,0.461,0.026,0.398496241,0.673144876,,0.518997959,0.402189773,0.505803184,0.4756636387,5605714,6.2,347.55,"54,865","54,865","5,595,211",980.6,,,2666434,47566,0.0001303442075,7672,,
Montana,2000,,,,,,,,,,,,,,,,,,,0.646,0.026,0.260869565,0.748148148,,0.586696785,0.570901964,0.685480695,0.6143598147,903305,2.2,19.87,"8,096","8,096","902,195",897.4,,,554954,61436,0.00003580963382,27925,,
Nebraska,2000,,,,,,,,,,,,,,,,,,,0.486,0.029,0.411764706,0.635220126,,0.557136505,,0.552979665,0.555058085,1713279,3.7,63.39,"14,992","14,992","1,711,263",876.1,,,950969,55506,0.00006665969022,15002,,
Nevada,2000,,,,,,,,,,,,,,,,,,,0.471,0.029,0.434782609,0.637462236,,0.448839791,,0.57583036,0.5123350755,2018196,6.5,131.18,"15,261","15,261","1,998,257",763.7,,,1033993,51234,0.0001268700956,7882,,
New Hampshire,2000,,,,,,,,,,,,,,,,,,,0.391,0.029,0.185185185,0.596153846,,0.417968628,,0.410506947,0.4142377875,1240385,1.8,22.33,"9,697","9,697","1,235,786",784.7,,,513814,41424,0.00004345330277,23013,,
New Jersey,2000,,,,,,,,,,,,,,,,,,,0.108,0.026,0.155172414,0.306306306,,0.161715303,0.097415767,0.143114488,0.1340818527,8430799,3.4,286.65,"74,800","74,800","8,414,350",889,,,1130417,13408,0.0002535764484,3944,,
New Mexico,2000,,,,,,,,,,,,,,,,,,,0.438,0.029,0.292307692,0.595419847,,0.461462767,,0.476534103,0.468998435,1820802,7.4,134.74,"13,425","13,425","1,819,046",738,,,853953,46900,0.0001577830425,6338,,
New York,2000,,,,,,,,,,,,,,,,,,,0.197,0.026,0.171717172,0.445396146,,0.232768445,0.149675148,0.258277539,0.2135737107,18996959,5,949.85,"158,203","158,203","18,976,457",833.7,,,4057251,21357,0.0002341112108,4271,,
North Carolina,2000,,,,,,,,,,,,,,,,,,,0.426,0.026,0.433035714,0.701472557,,0.512567186,0.384920822,0.446268861,0.4479189563,8080253,7,565.62,"71,935","71,935","8,049,313",893.7,,,3619298,44792,0.0001562782709,6399,,
North Dakota,2000,,,,,,,,,,,,,,,,,,,0.55,0.026,0.222222222,0.559322034,,0.598846513,0.51741746,0.593337367,0.5698671133,641298,0.6,3.85,"5,856","5,856","642,200",911.9,,,365455,56987,0.00001052877041,94978,,
Ohio,2000,,,,,,,,,,,,,,,,,,,0.351,0.026,0.340314136,0.578595318,,0.433830346,0.325663561,0.33425432,0.3645827423,11363136,3.7,420.44,"108,125","108,125","11,353,140",952.4,,,4142803,36458,0.0001014858788,9854,,
Oklahoma,2000,,,,,,,,,,,,,,,,,,,0.558,0.026,0.427184466,0.652284264,,0.611410329,0.480949415,0.675422795,0.5892608463,3453891,5.3,183.06,"35,079","35,079","3,450,654","1,016.60",,,2035243,58926,0.00008994318956,11118,,
Oregon,2000,,,,,,,,,,,,,,,,,,,0.516,0.026,0.442477876,0.663157895,,0.48341024,0.443261333,0.565273686,0.4973150863,3430739,2,68.61,"29,552","29,552","3,421,399",863.7,,,1706158,49732,0.00004021595272,24866,,
Pennsylvania,2000,,,,,,,,,,,,,,,,,,,0.391,0.026,0.278008299,0.61793722,,0.374276212,0.28036228,0.466972078,0.37387019,12283881,4.9,601.91,"130,813","130,813","12,281,054","1,065.20",,,4592577,37387,0.0001310615323,7630,,
Rhode Island,2000,,,,,,,,,,,,,,,,,,,0.153,0.029,0.142857143,0.409836066,,0.207339621,,0.162642632,0.1849911265,1050607,4.3,45.18,"10,027","10,027","1,048,319",956.5,,,194353,18499,0.0002324435816,4302,,
South Carolina,2000,,,,,,,,,,,,,,,,,,,0.492,0.026,0.533980583,0.711764706,,0.570319028,0.428928796,0.544899997,0.5147159403,4024082,7.3,293.76,"36,948","36,948","4,012,012",920.9,,,2071259,51472,0.0001418258,7051,,
South Dakota,2000,,,,,,,,,,,,,,,,,,,0.547,0.026,0.166666667,0.590361446,,0.600253333,0.505179814,0.628920971,0.5781180393,755707,0.9,6.80,"7,021","7,021","754,844",930.1,,,436888,57812,0.000015567755,64235,,
