SUMLEV,STATE,REGION,DIVISION,NAME,POPESTIMATE2012,POPEST18PLUS2012,PCNT_POPEST18PLUS
10,0,0,0,United States,313914040,240185952,76.5
40,1,3,6,Alabama,4822023,3697617,76.7
40,2,4,9,Alaska,731449,544349,74.4
40,4,4,8,Arizona,6553255,4932361,75.3
40,5,3,7,Arkansas,2949131,2238250,75.9
40,6,4,9,California,38041430,28801211,75.7
40,8,4,8,Colorado,5187582,3956224,76.3
40,9,1,1,Connecticut,3590347,2796789,77.9
40,10,3,5,Delaware,917092,712042,77.6
40,11,3,5,District of Columbia,632323,522843,82.7
40,12,3,5,Florida,19317568,15315088,79.3
40,13,3,5,Georgia,9919945,7429820,74.9
40,15,4,9,Hawaii,1392313,1089302,78.2
40,16,4,8,Idaho,1595728,1169075,73.3
40,17,2,3,Illinois,12875255,9811190,76.2
40,18,2,3,Indiana,6537334,4945857,75.7
40,19,2,4,Iowa,3074186,2351233,76.5
40,20,2,4,Kansas,2885905,2161601,74.9
40,21,3,6,Kentucky,4380415,3362177,76.8
40,22,3,7,Louisiana,4601893,3484090,75.7
40,23,1,1,Maine,1329192,1063274,80
40,24,3,5,Maryland,5884563,4540763,77.2
40,25,1,1,Massachusetts,6646144,5244729,78.9
40,26,2,3,Michigan,9883360,7616490,77.1
40,27,2,4,Minnesota,5379139,4102991,76.3
40,28,3,6,Mississippi,2984926,2239593,75
40,29,2,4,Missouri,6021988,4618513,76.7
40,30,4,8,Montana,1005141,783161,77.9
40,31,2,4,Nebraska,1855525,1392120,75
40,32,4,8,Nevada,2758931,2095348,75.9
40,33,1,1,New Hampshire,1320718,1045878,79.2
40,34,1,2,New Jersey,8864590,6838206,77.1
40,35,4,8,New Mexico,2085538,1571096,75.3
40,36,1,2,New York,19570261,15307107,78.2
40,37,3,5,North Carolina,9752073,7465545,76.6
40,38,2,4,North Dakota,699628,545020,77.9
40,39,2,3,Ohio,11544225,8880551,76.9
40,40,3,7,Oklahoma,3814820,2877457,75.4
40,41,4,9,Oregon,3899353,3038729,77.9
40,42,1,2,Pennsylvania,12763536,10024150,78.5
40,44,1,1,Rhode Island,1050292,833818,79.4
40,45,3,5,South Carolina,4723723,3643633,77.1
40,46,2,4,South Dakota,833354,629185,75.5
40,47,3,6,Tennessee,6456243,4962227,76.9
40,48,3,7,Texas,26059203,19073564,73.2
40,49,4,8,Utah,2855287,1967315,68.9
40,50,1,1,Vermont,626011,502060,80.2
40,51,3,5,Virginia,8185867,6329130,77.3
40,53,4,9,Washington,6897012,5312045,77
40,54,3,5,West Virginia,1855413,1471372,79.3
40,55,2,3,Wisconsin,5726398,4408841,77
40,56,4,8,Wyoming,576412,440922,76.5
40,72,X,X,Puerto Rico Commonwealth,3667084,2817721,76.8
