Year,STATE,HFR,HFR_se,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,AvgGunOwnershipEst
2006,Michigan,0.372,0.035,0.258373206,0.584946237,,,0.381263173,,0.381263173
2007,Michigan,0.334,0.032,0.221238938,0.561325967,,,,0.376207492,0.376207492
2008,Michigan,0.315,0.035,0.21719457,0.544316997,,,0.30076498,,0.30076498
2009,Michigan,0.354,0.032,0.253112033,0.55387931,,,,0.417245883,0.417245883
2010,Michigan,0.342,0.028,0.223021583,0.547208122,,,0.352200509,0.379624322,0.3659124155
2011,Michigan,0.325,0.032,0.242553191,0.569979716,,,,0.356959355,0.356959355
2012,Michigan,0.391,0.026,0.229249012,0.560515873,,0.564518733,0.353323249,0.42755078,0.448464254
2013,Michigan,0.36,0.032,0.253571429,0.59408867,,,,0.472329927,0.472329927
2014,Michigan,0.347,0.035,0.284246575,0.553672316,,,0.344021359,,0.344021359
2015,Michigan,0.358,0.032,0.254966887,0.555054152,,,,0.480776411,0.480776411
2016,Michigan,0.389,0.028,0.295681063,0.590780809,,,0.36464852,0.518877494,0.441763007
1980,Minnesota,0.527,0.031,0.188118812,0.579411765,,0.50760383,0.62598629,,0.56679506
1981,Minnesota,0.409,0.047,0.15625,0.526011561,,,,,
1982,Minnesota,0.536,0.036,0.153846154,0.551912568,,,0.617658538,,0.617658538
1983,Minnesota,0.463,0.038,0.216494845,0.602305476,,0.512112589,,,0.512112589
1984,Minnesota,0.462,0.036,0.215686275,0.557184751,,,0.458055129,,0.458055129
1985,Minnesota,0.528,0.031,0.1875,0.537190083,,0.610488738,0.570833069,,0.5906609035
1986,Minnesota,0.446,0.038,0.20661157,0.607142857,,0.452492954,,,0.452492954
1987,Minnesota,0.442,0.036,0.155737705,0.509433962,,,0.449575237,,0.449575237
1988,Minnesota,0.456,0.031,0.177570093,0.551181102,,0.59626841,0.381044993,,0.4886567015
1989,Minnesota,0.464,0.031,0.245283019,0.589242054,,0.529863275,0.40779934,,0.4688313075
1990,Minnesota,0.448,0.031,0.236842105,0.592592593,,0.478228755,0.410463111,,0.444345933
1991,Minnesota,0.463,0.031,0.213483146,0.582938389,,0.54502126,0.413681761,,0.4793515105
1992,Minnesota,0.456,0.047,0.21875,0.611510791,,,,,
1993,Minnesota,0.442,0.031,0.230769231,0.540609137,,0.43834049,0.456092876,,0.447216683
1994,Minnesota,0.444,0.036,0.204545455,0.564039409,,,0.439899599,,0.439899599
1995,Minnesota,0.423,0.047,0.204545455,0.583333333,,,,,
1996,Minnesota,0.464,0.031,0.347826087,0.573934837,,0.491597214,0.457462497,,0.4745298555
1997,Minnesota,0.395,0.029,0.310810811,0.587939698,,0.36375417,,0.408255854,0.386005012
1998,Minnesota,0.427,0.036,0.285714286,0.581151832,,,0.383814533,,0.383814533
1999,Minnesota,0.411,0.036,0.166666667,0.591780822,,0.439253078,,,0.439253078
2000,Minnesota,0.447,0.026,0.222222222,0.5625,,0.516452149,0.420182717,0.483530692,0.4733885193
2001,Minnesota,0.405,0.021,0.255813953,0.558375635,0.404374297,,,,0.404374297
2002,Minnesota,0.409,0.02,0.179775281,0.544117647,0.436452292,,0.266274525,,0.3513634085
2003,Minnesota,0.405,0.032,0.282608696,0.538271605,,,,0.428399228,0.428399228
2004,Minnesota,0.406,0.018,0.24742268,0.571428571,0.40970367,,0.331233176,0.439812021,0.3935829557
2005,Minnesota,0.387,0.044,0.25,0.516930023,,,,,
2006,Minnesota,0.373,0.035,0.172727273,0.504504505,,,0.355991656,,0.355991656
2007,Minnesota,0.403,0.032,0.203703704,0.523706897,,,,0.458402733,0.458402733
2008,Minnesota,0.386,0.035,0.247619048,0.535641548,,,0.356835875,,0.356835875
2009,Minnesota,0.396,0.032,0.206896552,0.549145299,,,,0.433461919,0.433461919
2010,Minnesota,0.41,0.028,0.178571429,0.5472103,,,0.40357807,0.446053795,0.4248159325
2011,Minnesota,0.411,0.032,0.137681159,0.555963303,,,,0.464047968,0.464047968
2012,Minnesota,0.382,0.026,0.216,0.532956685,,0.417371585,0.333077386,0.424452401,0.3916337907
2013,Minnesota,0.424,0.032,0.282758621,0.559099437,,,,0.531655044,0.531655044
2014,Minnesota,0.353,0.035,0.198757764,0.525714286,,,0.293939083,,0.293939083
2015,Minnesota,0.341,0.032,0.193939394,0.481415929,,,,0.419411264,0.419411264
2016,Minnesota,0.391,0.028,0.195121951,0.516351119,,,0.290008491,0.55815275,0.4240806205
1980,Mississippi,0.59,0.038,0.8,0.834254144,,0.571263709,,,0.571263709
1981,Mississippi,0.605,0.047,0.814285714,0.810344828,,,,,
1982,Mississippi,0.596,0.047,0.727272727,0.833333333,,,,,
1983,Mississippi,0.626,0.038,0.754385965,0.826530612,,0.684689981,,,0.684689981
1984,Mississippi,0.628,0.036,0.745762712,0.846511628,,,0.585563165,,0.585563165
1985,Mississippi,0.613,0.031,0.611111111,0.831050228,,0.753450742,0.515938939,,0.6346948405
1986,Mississippi,0.591,0.038,0.739726027,0.849315068,,0.577098027,,,0.577098027
1987,Mississippi,0.617,0.036,0.852459016,0.870535714,,,0.533618186,,0.533618186
1988,Mississippi,0.625,0.031,0.661538462,0.862068966,,0.788352465,0.503087619,,0.645720042
1989,Mississippi,0.617,0.031,0.701298701,0.793248945,,0.714439572,0.560024399,,0.6372319855
1990,Mississippi,0.614,0.031,0.735849057,0.826271186,,0.63558896,0.579728586,,0.607658773
1991,Mississippi,0.624,0.031,0.746478873,0.866141732,,0.694782859,0.552783123,,0.623782991
1992,Mississippi,0.56,0.047,0.661971831,0.801526718,,,,,
1993,Mississippi,0.605,0.031,0.781818182,0.816176471,,0.643694503,0.551195972,,0.5974452375
1994,Mississippi,0.575,0.036,0.754716981,0.770992366,,,0.537482648,,0.537482648
1995,Mississippi,0.588,0.047,0.839285714,0.790874525,,,,,
1996,Mississippi,0.59,0.031,0.746268657,0.806584362,,0.551401655,0.587585724,,0.5694936895
1997,Mississippi,0.568,0.029,0.666666667,0.827956989,,0.614725642,,0.567292266,0.591008954
1998,Mississippi,0.512,0.036,0.627118644,0.755555556,,,0.434702718,,0.434702718
1999,Mississippi,0.57,0.036,0.641509434,0.836653386,,0.544336264,,,0.544336264
2000,Mississippi,0.536,0.026,0.490566038,0.804979253,,0.583212181,0.422217236,0.583974915,0.529801444
2001,Mississippi,0.545,0.021,0.666666667,0.740875912,0.548800053,,,,0.548800053
2002,Mississippi,0.541,0.02,0.672727273,0.753472222,0.549836421,,0.456207084,,0.5030217525
2003,Mississippi,0.541,0.032,0.653846154,0.759689922,,,,0.569707642,0.569707642
2004,Mississippi,0.53,0.019,0.509090909,0.73559322,0.54737526,,,0.526621472,0.536998366
2005,Mississippi,0.5,0.044,0.575757576,0.717171717,,,,,
2006,Mississippi,0.49,0.044,0.5,0.723320158,,,,,
2007,Mississippi,0.522,0.032,0.671428571,0.711656442,,,,0.557667654,0.557667654
2008,Mississippi,0.497,0.044,0.602941176,0.718475073,,,,,
2009,Mississippi,0.478,0.032,0.507246377,0.75,,,,0.490551948,0.490551948
2010,Mississippi,0.48,0.032,0.6,0.675324675,,,,0.506318431,0.506318431
2011,Mississippi,0.498,0.032,0.64556962,0.7,,,,0.537739768,0.537739768
2012,Mississippi,0.568,0.026,0.682352941,0.732307692,,0.725661738,0.513963096,0.593427843,0.611017559
2013,Mississippi,0.502,0.032,0.626506024,0.744262295,,,,0.603472835,0.603472835
2014,Mississippi,0.488,0.035,0.49382716,0.705685619,,,0.475677378,,0.475677378
2015,Mississippi,0.474,0.032,0.543478261,0.713864307,,,,0.542032968,0.542032968
2016,Mississippi,0.541,0.028,0.594936709,0.726973684,,,0.449596891,0.689553417,0.569575154
1980,Missouri,0.569,0.031,0.433823529,0.723830735,,0.543976561,0.580448467,,0.562212514
1981,Missouri,0.501,0.047,0.397058824,0.741721854,,,,,
1982,Missouri,0.514,0.036,0.357664234,0.668161435,,,0.528891416,,0.528891416
1983,Missouri,0.484,0.038,0.367088608,0.677480916,,0.542610137,,,0.542610137
1984,Missouri,0.516,0.036,0.407894737,0.680311891,,,0.5074027,,0.5074027
1985,Missouri,0.512,0.031,0.407142857,0.674199623,,0.493513561,0.54025695,,0.5168852555
1986,Missouri,0.481,0.038,0.345323741,0.683304647,,0.525837577,,,0.525837577
1987,Missouri,0.523,0.036,0.425675676,0.690515807,,,0.514665519,,0.514665519
1988,Missouri,0.525,0.031,0.416666667,0.706099815,,0.647989242,0.446330793,,0.5471600175
1989,Missouri,0.55,0.031,0.401459854,0.670454545,,0.64477834,0.536183252,,0.590480796
1990,Missouri,0.582,0.031,0.508333333,0.719387755,,0.628840899,0.584708689,,0.606774794
1991,Missouri,0.536,0.031,0.328125,0.728668942,,0.605859767,0.511712679,,0.558786223
1992,Missouri,0.478,0.047,0.388888889,0.683397683,,,,,
1993,Missouri,0.492,0.031,0.377192982,0.70609319,,0.522219071,0.458701584,,0.4904603275
1994,Missouri,0.52,0.036,0.482758621,0.727124183,,,0.48918683,,0.48918683
1995,Missouri,0.468,0.047,0.475409836,0.659432387,,,,,
1996,Missouri,0.485,0.031,0.340740741,0.7136,,0.510295513,0.464709029,,0.487502271
1997,Missouri,0.459,0.029,0.418032787,0.681972789,,0.500390088,,0.471352932,0.48587151
1998,Missouri,0.474,0.036,0.38,0.669708029,,,0.462148327,,0.462148327
1999,Missouri,0.426,0.036,0.352941176,0.670212766,,0.437983292,,,0.437983292
2000,Missouri,0.461,0.026,0.398496241,0.673144876,,0.518997959,0.402189773,0.505803184,0.4756636387
2001,Missouri,0.446,0.021,0.361538462,0.638655462,0.453618207,,,,0.453618207
2002,Missouri,0.477,0.02,0.4,0.652249135,0.492864627,,0.426030522,,0.4594475745
2003,Missouri,0.433,0.032,0.391608392,0.662313433,,,,0.457308906,0.457308906
2004,Missouri,0.451,0.018,0.352941176,0.596085409,0.450483516,,0.481716097,0.485036148,0.4724119203
2005,Missouri,0.417,0.044,0.347826087,0.643463497,,,,,
2006,Missouri,0.445,0.035,0.319526627,0.619047619,,,0.449809748,,0.449809748
2007,Missouri,0.449,0.032,0.363636364,0.609642302,,,,0.469239032,0.469239032
2008,Missouri,0.487,0.035,0.319277108,0.600326264,,,0.489980671,,0.489980671
2009,Missouri,0.47,0.032,0.318435754,0.607929515,,,,0.50055386,0.50055386
2010,Missouri,0.463,0.028,0.300653595,0.630156472,,,0.437584387,0.468678916,0.4531316515
2011,Missouri,0.434,0.032,0.346534653,0.606019152,,,,0.422682905,0.422682905
2012,Missouri,0.511,0.026,0.347150259,0.664355062,,0.575659633,0.448140146,0.536118096,0.519972625
2013,Missouri,0.486,0.032,0.366492147,0.631989597,,,,0.570839499,0.570839499
2014,Missouri,0.497,0.035,0.375,0.627906977,,,0.458155859,,0.458155859
2015,Missouri,0.488,0.032,0.314655172,0.648780488,,,,0.569786217,0.569786217
2016,Missouri,0.528,0.028,0.377777778,0.634994206,,,0.463926827,0.648585024,0.5562559255
1980,Montana,0.782,0.036,0.565217391,0.769230769,,,0.729886358,,0.729886358
1981,Montana,0.695,0.047,0.434782609,0.707964602,,,,,
1982,Montana,0.656,0.036,,0.737864078,,,0.530869206,,0.530869206
1983,Montana,0.759,0.047,,0.745762712,,,,,
1984,Montana,0.778,0.047,0.5,0.797979798,,,,,
1985,Montana,0.717,0.047,,0.693548387,,,,,
1986,Montana,0.693,0.038,0.555555556,0.686666667,,0.648507146,,,0.648507146
1987,Montana,0.737,0.047,0.517241379,0.705426357,,,,,
1988,Montana,0.669,0.038,,0.677165354,,0.755312496,,,0.755312496
1989,Montana,0.665,0.038,0.481481481,0.664179104,,0.711282085,,,0.711282085
1990,Montana,0.668,0.038,0.5,0.706766917,,0.671909276,,,0.671909276
1991,Montana,0.673,0.038,0.375,0.736434109,,0.69440729,,,0.69440729
1992,Montana,0.638,0.047,0.4,0.658536585,,,,,
1993,Montana,0.7,0.038,0.433333333,0.752,,0.696762972,,,0.696762972
1994,Montana,0.689,0.036,0.5,0.779411765,,,0.558806409,,0.558806409
1995,Montana,0.684,0.047,0.451612903,0.7,,,,,
1996,Montana,0.654,0.031,0.47826087,0.748344371,,0.579264654,0.578701357,,0.5789830055
1997,Montana,0.621,0.033,0.361111111,0.727891156,,,,0.591415594,0.591415594
1998,Montana,0.657,0.036,0.333333333,0.702290076,,,0.617781155,,0.617781155
1999,Montana,0.581,0.036,0.206896552,0.676691729,,0.549030122,,,0.549030122
2000,Montana,0.646,0.026,0.260869565,0.748148148,,0.586696785,0.570901964,0.685480695,0.6143598147
2001,Montana,0.623,0.021,0.592592593,0.790540541,0.592589806,,,,0.592589806
2002,Montana,0.626,0.02,0.382352941,0.68,0.635249688,,0.446257477,,0.5407535825
2003,Montana,0.632,0.032,0.424242424,0.721088435,,,,0.566093685,0.566093685
2004,Montana,0.62,0.019,0.454545455,0.633802817,0.615808639,,,0.597761594,0.6067851165
2005,Montana,0.694,0.044,0.405405405,0.710059172,,,,,
2006,Montana,0.614,0.044,0.2,0.591463415,,,,,
2007,Montana,0.639,0.032,0.375,0.673076923,,,,0.618059057,0.618059057
2008,Montana,0.69,0.044,0.488372093,0.69375,,,,,
2009,Montana,0.625,0.032,0.30952381,0.694915254,,,,0.597441652,0.597441652
2010,Montana,0.621,0.032,0.375,0.687150838,,,,0.581423376,0.581423376
2011,Montana,0.603,0.032,0.454545455,0.717514124,,,,0.523532296,0.523532296
2012,Montana,0.658,0.029,0.413043478,0.71657754,,0.66755343,,0.646781813,0.6571676215
2013,Montana,0.633,0.032,0.459016393,0.653846154,,,,0.690808908,0.690808908
2014,Montana,0.64,0.044,0.333333333,0.664974619,,,,,
2015,Montana,0.608,0.032,0.461538462,0.695652174,,,,0.625792194,0.625792194
2016,Montana,0.65,0.032,0.404255319,0.65,,,,0.734846304,0.734846304
1980,Nebraska,0.545,0.038,0.357142857,0.692307692,,0.602824279,,,0.602824279
1981,Nebraska,0.507,0.047,0.333333333,0.658536585,,,,,
1982,Nebraska,0.496,0.047,0.358974359,0.616,,,,,
1983,Nebraska,0.539,0.038,0.5,0.714285714,,0.517932222,,,0.517932222
1984,Nebraska,0.503,0.047,,0.64084507,,,,,
1985,Nebraska,0.517,0.038,,0.633986928,,0.586849538,,,0.586849538
1986,Nebraska,0.509,0.038,0.260869565,0.612021858,,0.580157118,,,0.580157118
1987,Nebraska,0.504,0.047,0.35483871,0.626582278,,,,,
1988,Nebraska,0.534,0.038,0.315789474,0.5703125,,0.679665961,,,0.679665961
1989,Nebraska,0.546,0.038,0.342105263,0.625,,0.661590515,,,0.661590515
1990,Nebraska,0.523,0.038,0.238095238,0.640449438,,0.611768711,,,0.611768711
1991,Nebraska,0.526,0.038,0.294117647,0.700636943,,0.628525315,,,0.628525315
1992,Nebraska,0.471,0.047,0.369565217,0.647887324,,,,,
1993,Nebraska,0.465,0.038,0.346153846,0.662068966,,0.489234767,,,0.489234767
1994,Nebraska,0.419,0.047,0.08,0.656441718,,,,,
1995,Nebraska,0.451,0.047,0.25,0.670967742,,,,,
1996,Nebraska,0.504,0.038,0.4,0.647798742,,0.615475087,,,0.615475087
1997,Nebraska,0.438,0.029,0.275,0.647058824,,0.434333527,,0.478710423,0.456521975
1998,Nebraska,0.42,0.047,0.28125,0.622093023,,,,,
1999,Nebraska,0.455,0.036,0.565217391,0.616883117,,0.498012237,,,0.498012237
2000,Nebraska,0.486,0.029,0.411764706,0.635220126,,0.557136505,,0.552979665,0.555058085
2001,Nebraska,0.4,0.021,0.384615385,0.602484472,0.399054969,,,,0.399054969
2002,Nebraska,0.419,0.021,0.294117647,0.568862275,0.434109427,,,,0.434109427
2003,Nebraska,0.391,0.032,0.2,0.569536424,,,,0.459749692,0.459749692
2004,Nebraska,0.466,0.019,0.264705882,0.590909091,0.493785852,,,0.495794523,0.4947901875
2005,Nebraska,0.371,0.044,0.268292683,0.609589041,,,,,
2006,Nebraska,0.351,0.044,0.272727273,0.568047337,,,,,
2007,Nebraska,0.426,0.032,0.261904762,0.561151079,,,,0.533507731,0.533507731
2008,Nebraska,0.34,0.044,0.178571429,0.570552147,,,,,
2009,Nebraska,0.415,0.032,0.290322581,0.604316547,,,,0.488849361,0.488849361
2010,Nebraska,0.425,0.032,0.263157895,0.619354839,,,,0.505415646,0.505415646
2011,Nebraska,0.418,0.032,0.285714286,0.655629139,,,,0.471878478,0.471878478
2012,Nebraska,0.416,0.026,0.093023256,0.587301587,,0.518971219,0.401096857,0.480378643,0.466815573
2013,Nebraska,0.405,0.032,0.244444444,0.571428571,,,,0.563703387,0.563703387
2014,Nebraska,0.365,0.035,0.183673469,0.613861386,,,0.359281148,,0.359281148
2015,Nebraska,0.362,0.032,0.191489362,0.596590909,,,,0.482414566,0.482414566
2016,Nebraska,0.392,0.028,0.181818182,0.534653465,,,0.361210626,0.571778657,0.4664946415
1980,Nevada,0.561,0.038,0.540983607,0.672131148,,0.581572601,,,0.581572601
1981,Nevada,0.592,0.047,0.510638298,0.745341615,,,,,
1982,Nevada,0.627,0.047,0.566666667,0.788659794,,,,,
1983,Nevada,0.617,0.038,0.541666667,0.717791411,,0.710815248,,,0.710815248
1984,Nevada,0.571,0.047,0.603448276,0.7,,,,,
1985,Nevada,0.51,0.038,0.527777778,0.718390805,,0.422288095,,,0.422288095
1986,Nevada,0.582,0.038,0.48,0.715846995,,0.648266634,,,0.648266634
1987,Nevada,0.557,0.047,0.476923077,0.706467662,,,,,
1988,Nevada,0.617,0.038,0.6,0.674107143,,0.74338031,,,0.74338031
1989,Nevada,0.62,0.038,0.465116279,0.682242991,,0.795004217,,,0.795004217
1990,Nevada,0.607,0.038,0.566037736,0.751037344,,0.667609585,,,0.667609585
1991,Nevada,0.597,0.038,0.5,0.738955823,,0.673052528,,,0.673052528
1992,Nevada,0.582,0.047,0.590163934,0.735074627,,,,,
1993,Nevada,0.557,0.038,0.516666667,0.72243346,,0.599771652,,,0.599771652
1994,Nevada,0.539,0.047,0.506849315,0.705223881,,,,,
1995,Nevada,0.541,0.047,0.597222222,0.687306502,,,,,
1996,Nevada,0.519,0.047,0.49122807,0.697841727,,,,,
1997,Nevada,0.52,0.033,0.62962963,0.66969697,,,,0.544995377,0.544995377
1998,Nevada,0.474,0.047,0.425287356,0.658064516,,,,,
1999,Nevada,0.433,0.036,0.386666667,0.699088146,,0.447589527,,,0.447589527
2000,Nevada,0.471,0.029,0.434782609,0.637462236,,0.448839791,,0.57583036,0.5123350755
2001,Nevada,0.369,0.021,0.404761905,0.610561056,0.36300164,,,,0.36300164
2002,Nevada,0.386,0.021,0.355555556,0.63963964,0.386739928,,,,0.386739928
2003,Nevada,0.36,0.032,0.388235294,0.613180516,,,,0.377492819,0.377492819
2004,Nevada,0.392,0.019,0.387755102,0.616959064,0.390067702,,,0.446334622,0.418201162
2005,Nevada,0.36,0.044,0.297029703,0.612137203,,,,,
2006,Nevada,0.351,0.044,0.305555556,0.587301587,,,,,
2007,Nevada,0.397,0.032,0.411764706,0.617886179,,,,0.44650103,0.44650103
2008,Nevada,0.371,0.044,0.318181818,0.612440191,,,,,
2009,Nevada,0.391,0.032,0.333333333,0.659793814,,,,0.417472382,0.417472382
2010,Nevada,0.372,0.032,0.290322581,0.598108747,,,,0.417115623,0.417115623
2011,Nevada,0.318,0.032,0.333333333,0.58778626,,,,0.308443177,0.308443177
2012,Nevada,0.377,0.026,0.35971223,0.581818182,,0.441930215,0.392597853,0.375184462,0.40323751
2013,Nevada,0.351,0.032,0.333333333,0.602409639,,,,0.438083684,0.438083684
2014,Nevada,0.344,0.035,0.403225806,0.576837416,,,0.304467212,,0.304467212
2015,Nevada,0.328,0.032,0.367346939,0.581508516,,,,0.400815285,0.400815285
2016,Nevada,0.329,0.028,0.312883436,0.58110883,,,0.307189202,0.412131716,0.359660459
1980,New Hampshire,0.408,0.038,,0.564102564,,0.444220062,,,0.444220062
1981,New Hampshire,0.455,0.047,0.444444444,0.59,,,,,
1982,New Hampshire,0.461,0.047,,0.633333333,,,,,
1983,New Hampshire,0.437,0.047,,0.622222222,,,,,
1984,New Hampshire,0.495,0.036,,0.571428571,,,0.541258559,,0.541258559
1985,New Hampshire,0.422,0.036,0.37037037,0.564814815,,,0.364519841,,0.364519841
1986,New Hampshire,0.445,0.038,,0.626086957,,0.421833784,,,0.421833784
1987,New Hampshire,0.423,0.036,,0.607476636,,,0.369001781,,0.369001781
1988,New Hampshire,0.47,0.031,,0.715517241,,0.517082074,0.358351055,,0.4377165645
1989,New Hampshire,0.467,0.031,0.307692308,0.61,,0.491992922,0.42407381,,0.458033366
1990,New Hampshire,0.464,0.031,0.259259259,0.655737705,,0.459522654,0.415141361,,0.4373320075
1991,New Hampshire,0.47,0.031,0.269230769,0.586538462,,0.519884266,0.429290388,,0.474587327
1992,New Hampshire,0.483,0.047,0.272727273,0.643478261,,,,,
1993,New Hampshire,0.476,0.038,0.432432432,0.61682243,,0.50040427,,,0.50040427
1994,New Hampshire,0.442,0.047,0.285714286,0.596330275,,,,,
1995,New Hampshire,0.452,0.047,0.35,0.641025641,,,,,
1996,New Hampshire,0.441,0.038,0.53125,0.628571429,,0.403745478,,,0.403745478
1997,New Hampshire,0.387,0.033,0.323529412,0.578431373,,,,0.396828918,0.396828918
1998,New Hampshire,0.423,0.047,0.314285714,0.613445378,,,,,
1999,New Hampshire,0.374,0.036,0.185185185,0.536363636,,0.392408032,,,0.392408032
2000,New Hampshire,0.391,0.029,0.185185185,0.596153846,,0.417968628,,0.410506947,0.4142377875
2001,New Hampshire,0.31,0.021,0.228571429,0.537878788,0.289490032,,,,0.289490032
2002,New Hampshire,0.317,0.021,0.217391304,0.559633028,0.298246023,,,,0.298246023
2003,New Hampshire,0.33,0.032,0.161290323,0.551181102,,,,0.331792814,0.331792814
2004,New Hampshire,0.315,0.019,0.137931034,0.509615385,0.299884142,,,0.381411899,0.3406480205
2005,New Hampshire,0.364,0.044,0.24137931,0.541353383,,,,,
2006,New Hampshire,0.364,0.044,0.15,0.567567568,,,,,
2007,New Hampshire,0.364,0.032,0.171428571,0.528455285,,,,0.411415087,0.411415087
2008,New Hampshire,0.368,0.044,0.325,0.517985612,,,,,
2009,New Hampshire,0.383,0.032,0.375,0.52238806,,,,0.412660161,0.412660161
2010,New Hampshire,0.394,0.032,0.325,0.570512821,,,,0.418732249,0.418732249
2011,New Hampshire,0.385,0.032,0.205128205,0.421383648,,,,0.476109654,0.476109654
2012,New Hampshire,0.394,0.029,0.325581395,0.528301887,,0.406531097,,0.425178023,0.41585456
2013,New Hampshire,0.406,0.032,0.136363636,0.531914894,,,,0.5286917,0.5286917
2014,New Hampshire,0.381,0.044,0.125,0.539267016,,,,,
2015,New Hampshire,0.372,0.032,0.258064516,0.548192771,,,,0.443132147,0.443132147
2016,New Hampshire,0.463,0.032,0.245901639,0.590163934,,,,0.580019093,0.580019093
1980,New Jersey,0.201,0.031,0.103092784,0.411111111,,0.165233774,0.231239296,,0.198236535
1981,New Jersey,0.225,0.047,0.1796875,0.405472637,,,,,
1982,New Jersey,0.32,0.036,0.163398693,0.430588235,,,0.412075347,,0.412075347
1983,New Jersey,0.2,0.038,0.13740458,0.397228637,,0.19542416,,,0.19542416
1984,New Jersey,0.187,0.036,0.123376623,0.427966102,,,0.144990567,,0.144990567
1985,New Jersey,0.173,0.031,0.177419355,0.407563025,,0.149615948,0.14768872,,0.148652334
1986,New Jersey,0.181,0.038,0.189189189,0.414893617,,0.10631454,,,0.10631454
1987,New Jersey,0.228,0.036,0.168067227,0.402805611,,,0.227453188,,0.227453188
1988,New Jersey,0.168,0.031,0.102803738,0.410550459,,0.134868474,0.154949603,,0.1449090385
1989,New Jersey,0.214,0.031,0.196969697,0.457665904,,0.156592447,0.214375183,,0.185483815
1990,New Jersey,0.193,0.031,0.213592233,0.396551724,,0.166593265,0.18740641,,0.1769998375
1991,New Jersey,0.21,0.031,0.207920792,0.383495146,,0.194298241,0.225500665,,0.209899453
1992,New Jersey,0.213,0.047,0.20212766,0.374701671,,,,,
1993,New Jersey,0.176,0.031,0.152542373,0.429545455,,0.171541037,0.146546918,,0.1590439775
1994,New Jersey,0.167,0.036,0.094827586,0.380952381,,,0.150907307,,0.150907307
1995,New Jersey,0.195,0.047,0.142857143,0.386266094,,,,,
1996,New Jersey,0.122,0.031,0.174242424,0.323788546,,0.089905422,0.133026978,,0.1114662
1997,New Jersey,0.133,0.029,0.138461538,0.375,,0.20647998,,0.126661646,0.166570813
1998,New Jersey,0.167,0.036,0.171171171,0.414893617,,,0.154083924,,0.154083924
1999,New Jersey,0.144,0.036,0.179487179,0.390134529,,0.095308083,,,0.095308083
2000,New Jersey,0.108,0.026,0.155172414,0.306306306,,0.161715303,0.097415767,0.143114488,0.1340818527
2001,New Jersey,0.122,0.021,0.120300752,0.331868132,0.11669447,,,,0.11669447
2002,New Jersey,0.117,0.02,0.072072072,0.380090498,0.107239969,,0.137126487,,0.122183228
2003,New Jersey,0.112,0.032,0.128205128,0.356687898,,,,0.132222211,0.132222211
2004,New Jersey,0.108,0.018,0.07826087,0.365145228,0.114084688,,0.126087303,0.113284785,0.1178189253
2005,New Jersey,0.106,0.044,0.078947368,0.300947867,,,,,
2006,New Jersey,0.118,0.035,0.069565217,0.35106383,,,0.128606252,,0.128606252
2007,New Jersey,0.063,0.032,0.088709677,0.326271186,,,,0.066897042,0.066897042
2008,New Jersey,0.088,0.035,0.11965812,0.323293173,,,0.076028006,,0.076028006
2009,New Jersey,0.098,0.032,0.139240506,0.338912134,,,,0.122503138,0.122503138
2010,New Jersey,0.085,0.028,0.10738255,0.3,,,0.129712411,0.101437011,0.115574711
2011,New Jersey,0.102,0.032,0.092715232,0.310408922,,,,0.145064754,0.145064754
2012,New Jersey,0.07,0.026,0.081632653,0.276119403,,0.118515922,0.09257,0.094564791,0.101883571
2013,New Jersey,0.056,0.032,0.101796407,0.3,,,,0.127231275,0.127231275
2014,New Jersey,0.097,0.035,0.096938776,0.296610169,,,0.105265354,,0.105265354
2015,New Jersey,0.081,0.032,0.081218274,0.29222973,,,,0.180114841,0.180114841
2016,New Jersey,0.089,0.028,0.063694268,0.313207547,,,0.117171402,0.182806756,0.149989079
1980,New Mexico,0.553,0.038,0.568181818,0.743169399,,0.568454489,,,0.568454489
1981,New Mexico,0.53,0.047,0.480769231,0.705882353,,,,,
1982,New Mexico,0.562,0.047,0.559322034,0.739336493,,,,,
1983,New Mexico,0.524,0.038,0.404255319,0.746268657,,0.527192444,,,0.527192444
1984,New Mexico,0.519,0.047,0.47826087,0.692307692,,,,,
1985,New Mexico,0.548,0.038,0.475409836,0.730569948,,0.591513527,,,0.591513527
1986,New Mexico,0.535,0.038,0.450980392,0.699152542,,0.580546406,,,0.580546406
1987,New Mexico,0.547,0.047,0.646153846,0.673728814,,,,,
1988,New Mexico,0.567,0.038,0.45,0.704545455,,0.671006082,,,0.671006082
1989,New Mexico,0.555,0.038,0.421052632,0.701244813,,0.652626551,,,0.652626551
1990,New Mexico,0.496,0.038,0.448275862,0.684444444,,0.599086758,,,0.599086758
1991,New Mexico,0.552,0.038,0.5,0.681222707,,0.652983581,,,0.652983581
1992,New Mexico,0.496,0.047,0.345454545,0.701612903,,,,,
1993,New Mexico,0.496,0.038,0.472972973,0.694835681,,0.494560503,,,0.494560503
1994,New Mexico,0.521,0.047,0.484375,0.690376569,,,,,
1995,New Mexico,0.522,0.047,0.5,0.657142857,,,,,
1996,New Mexico,0.488,0.038,0.428571429,0.671755725,,0.480577543,,,0.480577543
1997,New Mexico,0.437,0.029,0.327586207,0.636363636,,0.42609386,,0.476953479,0.4515236695
1998,New Mexico,0.469,0.047,0.5,0.598393574,,,,,
1999,New Mexico,0.446,0.036,0.357142857,0.610687023,,0.449428542,,,0.449428542
